Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland E
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1998  121.9   75.6   81.8  147.4   55.3   97.7  133.5   81.5   99.3  174.5  133.8  112.5   338.5   284.6   312.7   407.6  1314.9
1999  149.3   78.1   73.6   86.5   89.7   98.0   63.7   50.0  144.0   84.5  123.1  185.5   339.9   249.8   211.8   351.6  1226.0
2000  113.7  112.6   72.3  133.5   64.9   61.0   55.6  110.4  155.0  166.7  158.4  158.2   411.8   270.8   227.1   480.1  1362.4
2001   73.7  108.1   86.5   62.6   26.0   64.8   82.7  104.1   79.3  179.1   84.6   75.3   339.9   175.1   251.7   343.0  1026.8
2002  152.6  171.3   83.7   54.2  104.9  110.7  137.6   99.9   36.5  208.0  183.2   98.7   399.2   242.8   348.2   427.7  1441.3
2003  117.2   38.0   54.7   57.9  106.2   51.7   62.3   24.8   49.2   53.8  110.9  114.1   254.0   218.9   138.8   213.8   840.8
2004  131.1   64.5   69.0  106.5   50.1  118.2   61.4  198.5   87.3  198.9   60.5   87.9   309.7   225.6   378.2   346.6  1233.9
2005  155.0   83.2   79.7  104.6   94.7   82.1   39.4   75.9   66.5  176.1  127.9   77.4   326.1   279.1   197.4   370.5  1162.6
2006   64.3   64.5  126.4   44.1   92.4   49.8   52.3   82.2  119.9  148.6  153.9  173.7   206.3   262.9   184.3   422.4  1172.2
2007  146.0  120.1   90.4   26.4  101.5  128.3  136.7  102.3   55.8   48.4  120.4   91.3   439.9   218.4   367.3   224.6  1167.7
2008  231.2   86.3  107.6   95.1   29.3   90.2  104.3  159.7   90.7  143.7   77.5   99.2   408.9   231.9   354.1   311.9  1314.8
2009  115.7   58.9   79.5   51.8   95.4   68.6  152.0  137.6   95.5  134.8  219.4   96.1   273.8   226.8   358.2   449.7  1305.4
2010   96.9   86.3   82.7   56.3   48.0   37.1  143.6   80.9  127.4  108.4  177.4   50.2   279.2   187.0   261.6   413.2  1095.2
2011   90.0  141.8   88.8   35.5  120.1   94.2  109.9  165.3  121.1  120.5  120.3  138.4   282.0   244.3   369.4   362.0  1345.8
2012   92.5   41.5   26.8  134.7   74.8  141.0  135.8  127.0   85.9  128.2  101.2  194.1   272.3   236.3   403.8   315.3  1283.5
2013  112.5   53.8   63.0   73.9   81.8   42.5   85.6   54.4   55.3  156.2   71.5  214.3   360.4   218.7   182.6   283.1  1065.0
2014  199.7  168.3   82.7   74.3   68.6   79.1   67.3  153.5   27.3  177.5  149.2  110.6   582.2   225.6   299.9   354.0  1358.0
2015  148.0   66.8   99.5   52.1  108.2   64.1  148.6   97.0   44.5   78.8  171.8  269.7   325.4   259.8   309.7   295.1  1349.0
2016  263.3   96.7   61.1   89.2   44.4  102.7  101.7   72.4   85.5   73.5   85.4   84.6   629.7   194.7   276.9   244.5  1160.7
2017   58.1  109.5   88.4   27.5   43.5  149.6   82.4  104.5  111.9   97.5   93.4   73.9   252.2   159.4   336.5   302.9  1040.3
